Subcatchment,Rain,Gage,Outlet,Area,%Imperv,Width,%Slope,N-Imperv,N-Perv,S-Imperv,S-Perv,PctZero,RouteTo,MaxRate,MinRate,Decay,DryTime,MaxInfil
01000,1,293E,185,18.7,5287,5.67,0,0.015,0.316,0.06,0.12,25,OUTLET,3.97,0.07,4.8,5,1.48
01005,1,3741E,157.6,28.2,6692,8.14,0,0.015,0.303,0.06,0.12,25,OUTLET,4,0.07,4.8,5,1.55
01006,1,7128E,299.2,22.9,2885,1.15,0,0.015,0.279,0.06,0.119,25,OUTLET,5.7,0.15,4.8,5,2.77
01007,1,8511E,141.2,23,3418,2.65,0,0.015,0.292,0.06,0.119,25,OUTLET,4.89,0.11,4.8,5,2.19
01008,1,9307E,302,23.6,2875,1.4,0,0.015,0.246,0.06,0.118,25,OUTLET,6.48,0.19,4.8,5,3.35
01009,1,11105E,101.7,23.3,2171,3.65,0,0.015,0.274,0.06,0.119,25,OUTLET,5.63,0.15,4.8,5,2.71
01010,1,12286,105.347563,23.8,1977,2.86,0,0.015,0.176,0.06,0.11,25,OUTLET,4.8,0.11,4.8,5,2.05
02010,1,4Z,77.16760433,35.4,1903,3.13,0,0.015,0.19,0.06,0.1,25,OUTLET,4.02,0.09,4.8,5,1.72
02020,1,02020b,118.6843019,26.8,1747,3.37,0,0.015,0.219,0.06,0.11,25,OUTLET,4.8,0.11,4.8,5,2.05
02030,1,02030b,96.48498365,40.4,1429,2.9,0,0.015,0.219,0.06,0.1,25,OUTLET,3.39,0.07,4.8,5,1.45
02040,1,02040b,101.1613101,13.6,1587,4.31,0,0.015,0.229,0.06,0.11,25,OUTLET,6.55,0.16,4.8,5,2.78
02050,1,02050b,59.18204702,13.6,1966,4.35,0,0.015,0.225,0.06,0.11,25,OUTLET,6.53,0.16,4.8,5,2.78
02060,1,02060b,62.47558475,12.9,938,4.89,0,0.015,0.228,0.06,0.12,25,OUTLET,6.59,0.16,4.8,5,2.8
03010,1,13942,14.46807802,20.3,1027,3.81,0,0.015,0.198,0.06,0.11,25,OUTLET,4.64,0.12,4.8,5,1.98
03020,1,6,35.00825574,17.3,2705,4.74,0,0.015,0.205,0.06,0.11,25,OUTLET,6.45,0.16,4.8,5,2.74
03030,1,03030b,99.81210519,14.3,6628,2.26,0,0.015,0.23,0.06,0.11,25,OUTLET,6.53,0.16,4.8,5,2.78
04010,1,15069,46.85975772,22,520,5.43,0,0.015,0.195,0.06,0.11,25,OUTLET,4.82,0.12,4.8,5,2.05
04020,1,16097,63.48232599,20.6,1917,3.92,0,0.015,0.225,0.06,0.11,25,OUTLET,4.67,0.11,4.8,5,1.99
04030,1,16814,120.2541539,18.2,697,2.06,0,0.015,0.243,0.06,0.11,25,OUTLET,4.74,0.11,4.8,5,2.02
04040,1,5,121.9807202,15.6,633,2.43,0,0.015,0.236,0.06,0.11,25,OUTLET,5.89,0.14,4.8,5,2.51
04050,1,19400,108.1029222,14.4,5636,3.14,0,0.015,0.231,0.06,0.11,25,OUTLET,5.95,0.15,4.8,5,2.53
04060,1,21511,55.557,20.7,3333,1.39,0,0.015,0.234,0.06,0.11,25,OUTLET,4.74,0.11,4.8,5,2.02
04070,1,22322,111.7164526,12.2,1678,1.55,0,0.015,0.242,0.06,0.12,25,OUTLET,6.59,0.16,4.8,5,2.8
04080,1,23157,27.056,18.4,3319,1.3,0,0.015,0.22,0.06,0.11,25,OUTLET,5.4,0.13,4.8,5,2.3
05010,1,05010b,52.84186124,29.6,3750,1.85,0,0.015,0.215,0.06,0.11,25,OUTLET,4.49,0.11,4.8,5,1.92
05020,1,05020b,25.41675608,9,554,14.55,0,0.015,0.263,0.06,0.12,25,OUTLET,7,0.18,4.8,5,2.98
05030,1,05030b,46.09503822,11.2,1255,14.96,0,0.015,0.262,0.06,0.12,25,OUTLET,6.82,0.17,4.8,5,2.9
05040,1,05040b,22.94819876,12.1,800,8.45,0,0.015,0.237,0.06,0.12,25,OUTLET,6.82,0.17,4.8,5,2.9
06010,1,24634,29.73490544,17.9,4685,2.2,0,0.015,0.219,0.06,0.11,25,OUTLET,4.97,0.12,4.8,5,2.12
06020,1,26483,122.7973471,18.2,2148,9.71,0,0.015,0.239,0.06,0.11,25,OUTLET,5.48,0.13,4.8,5,2.33
06030,1,27248,12.9189139,32.7,536,2.74,0,0.015,0.252,0.06,0.1,25,OUTLET,3.33,0.07,4.8,5,1.43
07010,1,27248,94.19904864,12.3,1415,3.75,0,0.015,0.249,0.06,0.12,25,OUTLET,6.29,0.16,4.8,5,2.67
07020,1,07050b,56.47438626,11.4,5252,1.68,0,0.015,0.255,0.06,0.12,25,OUTLET,6.07,0.17,4.8,5,2.58
07030,1,07030b,149.2335677,9,6938,5.87,0,0.015,0.286,0.06,0.12,25,OUTLET,6.29,0.18,4.8,5,2.67
07040,1,07030b,53.54827996,4.2,1060,1.44,0,0.015,0.311,0.06,0.13,25,OUTLET,5.06,0.14,4.8,5,2.16
07050,1,07050b,15.36868496,12.2,2711,2.24,0,0.015,0.238,0.06,0.12,25,OUTLET,6.52,0.17,4.8,5,2.77
07060,1,07060b,81.95451052,13.6,6007,3.89,0,0.015,0.235,0.06,0.11,25,OUTLET,6.32,0.17,4.8,5,2.68
07070,1,07070b,78.37914731,14.5,5762,5.12,0,0.015,0.226,0.06,0.11,25,OUTLET,6.36,0.16,4.8,5,2.7
07080,1,07080b,138.7526391,10.5,5064,3.37,0,0.015,0.258,0.06,0.12,25,OUTLET,6.41,0.17,4.8,5,2.72
07090,1,07090b,84.28674783,9.2,2732,5.01,0,0.015,0.262,0.06,0.12,25,OUTLET,6.41,0.18,4.8,5,2.72
07100,1,07100b,126.6198128,7.5,2298,5.43,0,0.015,0.272,0.06,0.12,25,OUTLET,6.53,0.18,4.8,5,2.77
08010,1,28522,74.40578846,18.8,3496,5.55,0,0.015,0.253,0.06,0.11,25,OUTLET,3.87,0.09,4.8,5,1.66
08020,1,29880,45.62722594,26.6,1754,8.99,0,0.015,0.173,0.06,0.11,25,OUTLET,4.21,0.1,4.8,5,1.8
09010,1,30480,84.35450271,31.2,4233,8.37,0,0.015,0.197,0.06,0.1,25,OUTLET,4.4,0.1,4.8,5,1.88
09020,1,09020b,129.3663833,24.2,5803,3.57,0,0.015,0.227,0.06,0.11,25,OUTLET,5.09,0.13,4.8,5,2.17
09030,1,09030b,144.5465004,20.3,2970,8.57,0,0.015,0.256,0.06,0.11,25,OUTLET,5.38,0.13,4.8,5,2.29
10010,1,32200,102.8449882,26.1,4706,5.4,0,0.015,0.217,0.06,0.11,25,OUTLET,4.1,0.1,4.8,5,1.75
10020,1,10020b,95.14503486,19.3,4280,6.8,0,0.015,0.265,0.06,0.11,25,OUTLET,4.71,0.13,4.8,5,2
11010,1,31560,112.1592822,23.9,5094,1.24,0,0.015,0.173,0.06,0.11,25,OUTLET,4.85,0.12,4.8,5,2.07
11020,1,3306,112.2420865,12.2,4340,9.37,0,0.015,0.252,0.06,0.12,25,OUTLET,6.19,0.16,4.8,5,2.63
11030,1,6527,110.4408477,20.7,4193,5.46,0,0.015,0.166,0.06,0.12,25,OUTLET,4.71,0.11,4.8,5,2.01
11040,1,8096,51.57847059,20.9,3610,1.18,0,0.015,0.162,0.06,0.12,25,OUTLET,4.51,0.12,4.8,5,1.92
11050,1,11050b,171.4800827,18.7,5753,4.73,0,0.015,0.205,0.06,0.12,25,OUTLET,5.28,0.14,4.8,5,2.24
11060,1,9149,57.82778088,18.2,1757,5.94,0,0.015,0.235,0.06,0.12,25,OUTLET,5.22,0.14,4.8,5,2.22
11070,1,9149,114.3311433,14.8,6878,1.8,0,0.015,0.268,0.06,0.12,25,OUTLET,5.79,0.16,4.8,5,2.46
11080,1,11080b,106.1339492,16.1,4377,7.06,0,0.015,0.276,0.06,0.11,25,OUTLET,5.08,0.14,4.8,5,2.15
11090,1,9833,26.90487882,4,1957,7.05,0,0.015,0.274,0.06,0.13,25,OUTLET,6.17,0.17,4.8,5,2.62
11100,1,10313,114.1397282,19.8,2230,2.09,0,0.015,0.291,0.06,0.12,25,OUTLET,5.6,0.15,4.8,5,2.38
11110,1,11110b,48.45163138,8.7,2345,2.24,0,0.015,0.288,0.06,0.13,25,OUTLET,5.37,0.16,4.8,5,2.27
11120,1,11743,117.2565298,13,4693,4.41,0,0.015,0.272,0.06,0.13,25,OUTLET,5.23,0.15,4.8,5,2.22
11130,1,15720,159.1686885,3.4,4464,1.91,0,0.015,0.273,0.06,0.13,25,OUTLET,6.05,0.18,4.8,5,2.57
11140,1,15740.5,121.4283129,3.9,4408,1.97,0,0.015,0.289,0.06,0.13,25,OUTLET,5.41,0.15,4.8,5,2.3
11150,1,11150b,82.91756941,11.8,5322,3.04,0,0.015,0.261,0.06,0.12,25,OUTLET,6.81,0.17,4.8,5,2.89
11160,1,11160b,124.6129489,11.2,2714,10.19,0,0.015,0.244,0.06,0.12,25,OUTLET,6.72,0.17,4.8,5,2.85
11170,1,11170b,20.32382477,8.7,1896,1.62,0,0.015,0.259,0.06,0.13,25,OUTLET,5.46,0.16,4.8,5,2.32
11180,1,11180b,172.3796374,8.6,2145,5.11,0,0.015,0.265,0.06,0.12,25,OUTLET,6.63,0.16,4.8,5,2.82
11190,1,11190b,101.8653531,9.3,2103,3.64,0,0.015,0.266,0.06,0.12,25,OUTLET,6.72,0.17,4.8,5,2.85
11200,1,11205b,35.10802378,6.8,3443,4.77,0,0.015,0.281,0.06,0.13,25,OUTLET,7.22,0.18,4.8,5,3.07
11210,1,11210b,41.76960857,10,2145,5.12,0,0.015,0.273,0.06,0.12,25,OUTLET,7.08,0.18,4.8,5,3.01
11220,1,11220b,109.4497952,7.3,2218,9.26,0,0.015,0.27,0.06,0.12,25,OUTLET,7.01,0.18,4.8,5,2.98
11230,1,11230b,56.90644247,5.3,1377,8.53,0,0.015,0.288,0.06,0.13,25,OUTLET,7.21,0.18,4.8,5,3.06
11240,1,11240b,62.09708465,4.1,1745,9.94,0,0.015,0.287,0.06,0.13,25,OUTLET,7.31,0.18,4.8,5,3.11
11250,1,3.671,100.2133188,8.5,6393,2.21,0,0.015,0.259,0.06,0.12,25,OUTLET,5.89,0.16,4.8,5,2.5
11260,1,3.974,145.1873094,6.8,5122,3.14,0,0.015,0.259,0.06,0.13,25,OUTLET,6.91,0.18,4.8,5,2.93
11270,1,11270b,128.0596824,6.9,2595,8.32,0,0.015,0.272,0.06,0.13,25,OUTLET,7.22,0.18,4.8,5,3.07
11280,1,4.256,109.2610957,6.9,5220,1.95,0,0.015,0.259,0.06,0.13,25,OUTLET,5.64,0.14,4.8,5,2.4
11290,1,11305,116.0014367,3.5,7844,2.87,0,0.015,0.283,0.06,0.13,25,OUTLET,7.31,0.19,4.8,5,3.1
11300,1,11300b,49.67303519,9.3,1273,7.21,0,0.015,0.258,0.06,0.12,25,OUTLET,6.93,0.17,4.8,5,2.95
11310,1,11310b,77.82920627,6.8,1994,6,0,0.015,0.288,0.06,0.12,25,OUTLET,7.07,0.18,4.8,5,3
11320,1,0.22B,77.79581756,3,6027,4.88,0,0.015,0.274,0.06,0.13,25,OUTLET,6.1,0.18,4.8,5,2.59
1132X,1,1132Xb,225.6616015,4.9,11616,1.27,0,0.015,0.291,0.06,0.13,25,OUTLET,5.63,0.15,4.8,5,2.39
11330,1,0.46,162.3068813,7.9,3588,1.53,0,0.015,0.25,0.06,0.13,25,OUTLET,5.89,0.17,4.8,5,2.5
11340,1,0.82,73.59338834,7.8,4761,1.59,0,0.015,0.246,0.06,0.13,25,OUTLET,6.03,0.18,4.8,5,2.56
11350,1,1.285,136.624893,4.8,5189,1.81,0,0.015,0.262,0.06,0.13,25,OUTLET,6.92,0.19,4.8,5,2.94
11360,1,1.845,238.3875618,4.6,8364,1.02,0,0.015,0.294,0.06,0.13,25,OUTLET,6.93,0.19,4.8,5,2.94
11370,1,2.533,88.31444675,5.5,5320,2,0,0.015,0.269,0.06,0.13,25,OUTLET,6.14,0.18,4.8,5,2.6
11380,1,2.732,131.0535044,2.9,5827,5.1,0,0.015,0.288,0.06,0.13,25,OUTLET,7.17,0.19,4.8,5,3.05
11390,1,3.297,141.2339395,4.9,3870,6.32,0,0.015,0.278,0.06,0.13,25,OUTLET,6.84,0.19,4.8,5,2.9
11400,1,3.759,118.4727184,5.5,3627,3.68,0,0.015,0.294,0.06,0.13,25,OUTLET,6.44,0.19,4.8,5,2.73
11410,1,4.154,246.7491914,3.6,3467,1.75,0,0.015,0.285,0.06,0.13,25,OUTLET,6.61,0.19,4.8,5,2.8
1144X,1,1144Xb,21.07015349,1.3,7342,5.8,0,0.015,0.294,0.06,0.13,25,OUTLET,4.53,0.1,4.8,5,1.94
1145X,1,1148Xb,124.2668082,3.5,8023,2.33,0,0.015,0.275,0.06,0.13,25,OUTLET,6.38,0.18,4.8,5,2.71
1146X,1,1147Xb,116.4512826,3.4,4923,5.61,0,0.015,0.292,0.06,0.13,25,OUTLET,7.28,0.19,4.8,5,3.09
1147X,1,1147Xb,114.1014256,3,6408,5.94,0,0.015,0.287,0.06,0.13,25,OUTLET,7.5,0.19,4.8,5,3.19
1148X,1,1148Xb,200.4881195,1.7,6556,2.42,0,0.015,0.288,0.06,0.13,25,OUTLET,5.94,0.16,4.8,5,2.53
1149X,1,1150Xb,153.3984434,1.4,1758,5.94,0,0.015,0.287,0.06,0.13,25,OUTLET,7.4,0.19,4.8,5,3.15
1150X,1,1150Xb,183.4787111,2.2,9315,2.71,0,0.015,0.289,0.06,0.13,25,OUTLET,6.96,0.18,4.8,5,2.96
1151X,1,1151Xb,212.6242867,4,3308,3.42,0,0.015,0.288,0.06,0.13,25,OUTLET,7.4,0.19,4.8,5,3.15
12010,1,32528,12.73883797,4.3,1529,2.29,0,0.015,0.343,0.06,0.13,25,OUTLET,6.35,0.16,4.8,5,2.7
12020,1,12020b,97.41131273,8.1,6960,3.61,0,0.015,0.322,0.06,0.12,25,OUTLET,6.16,0.16,4.8,5,2.62
12030,1,12030b,51.20318051,10.1,3770,2.46,0,0.015,0.269,0.06,0.12,25,OUTLET,6.49,0.17,4.8,5,2.76
12040,1,12040b,83.71177285,10.3,4464,2.63,0,0.015,0.263,0.06,0.12,25,OUTLET,6.6,0.17,4.8,5,2.8
12050,1,12030b,104.7568958,11.9,3269,3.9,0,0.015,0.242,0.06,0.12,25,OUTLET,6.45,0.17,4.8,5,2.74
12060,1,12060b,104.7613134,10.8,4362,2.33,0,0.015,0.253,0.06,0.12,25,OUTLET,6.41,0.17,4.8,5,2.72
12070,1,12070b,117.3804204,18.3,2045,1.84,0,0.015,0.236,0.06,0.11,25,OUTLET,5.65,0.14,4.8,5,2.4
12080,1,12060b,80.64705522,9.9,2621,4.42,0,0.015,0.254,0.06,0.12,25,OUTLET,6.62,0.17,4.8,5,2.81
12090,1,12090b,109.8044365,13.7,1868,0.92,0,0.015,0.252,0.06,0.11,25,OUTLET,6.03,0.15,4.8,5,2.56
13010,1,33708,102.581852,12.4,7579,1.79,0,0.015,0.305,0.06,0.12,25,OUTLET,5.02,0.14,4.8,5,2.13
13020,1,34800,108.4717374,13.2,7169,2.07,0,0.015,0.274,0.06,0.11,25,OUTLET,5.48,0.14,4.8,5,2.33
13030,1,13030b,144.8967156,14.5,5855,1.66,0,0.015,0.252,0.06,0.11,25,OUTLET,6.4,0.16,4.8,5,2.72
13040,1,13040b,66.49423993,10.4,1448,2.27,0,0.015,0.263,0.06,0.12,25,OUTLET,6.71,0.17,4.8,5,2.85
13050,1,35833.5,54.94204106,18.7,2800,1.84,0,0.015,0.252,0.06,0.11,25,OUTLET,3.96,0.09,4.8,5,1.69
14010,1,1105,140.9807116,8.9,7592,2.1,0,0.015,0.264,0.06,0.12,25,OUTLET,6.62,0.17,4.8,5,2.81
14020,1,14020b,52.67485481,10,4057,2.63,0,0.015,0.26,0.06,0.12,25,OUTLET,6.47,0.16,4.8,5,2.75
14030,1,14030b,102.1916522,11.9,1923,2.4,0,0.015,0.251,0.06,0.12,25,OUTLET,6.5,0.16,4.8,5,2.76
14040,1,14040b,19.81905672,17.8,2877,2.91,0,0.015,0.231,0.06,0.11,25,OUTLET,6.23,0.16,4.8,5,2.65
14050,1,14050b,76.62198078,9.7,2567,9.86,0,0.015,0.263,0.06,0.12,25,OUTLET,6.7,0.17,4.8,5,2.85
14060,1,14060b,129.2021419,9.4,6949,6.67,0,0.015,0.263,0.06,0.12,25,OUTLET,6.79,0.17,4.8,5,2.89
14070,1,1104,83.93932515,14.5,4329,1.66,0,0.015,0.231,0.06,0.11,25,OUTLET,6.41,0.16,4.8,5,2.73
14080,1,14080b,48.54058211,12.7,4751,4.63,0,0.015,0.249,0.06,0.11,25,OUTLET,6.51,0.16,4.8,5,2.77
14090,1,14090b,60.24716553,10.4,4999,5.76,0,0.015,0.259,0.06,0.12,25,OUTLET,6.75,0.17,4.8,5,2.87
14100,1,14100b,159.2776758,9.8,2434,6.43,0,0.015,0.261,0.06,0.12,25,OUTLET,6.83,0.17,4.8,5,2.9
15010,1,37251,17.31118229,28.3,2280,3.87,0,0.015,0.22,0.06,0.1,25,OUTLET,3.82,0.09,4.8,5,1.63
15020,1,15020b,133.0783728,15.1,6491,1.61,0,0.015,0.241,0.06,0.11,25,OUTLET,6,0.15,4.8,5,2.55
15030,1,15030b,127.8028617,11.8,6510,1.23,0,0.015,0.245,0.06,0.12,25,OUTLET,6.33,0.16,4.8,5,2.69
15040,1,15040b,66.40208872,11.9,4074,4.43,0,0.015,0.261,0.06,0.12,25,OUTLET,6.2,0.15,4.8,5,2.64
